Designator,Footprint,LCSC
"R19,R48,R60",Resistor_SMD:R_0402_1005Metric,C11702
"C47,C48",Capacitor_SMD:C_0805_2012Metric,C16780
J8,custom:Boom-audiojack-PJ-320B,C18594
"R16,R17,R37",Resistor_SMD:R_0402_1005Metric,C25105
R22,Resistor_SMD:R_0402_1005Metric,C25530
R59,Resistor_SMD:R_0402_1005Metric,C25545
R10,Resistor_SMD:R_0402_1005Metric,C25744
"R15,R38,R39,R40,R42,R44,R46,R51,R52,R53,R58",Resistor_SMD:R_0402_1005Metric,C25744
"R14,R20,R21,R27,R29,R41,R43,R45,R47",Resistor_SMD:R_0402_1005Metric,C25900
R54,Resistor_SMD:R_0402_1005Metric,C26980
Q7,Package_TO_SOT_SMD:SOT-23,C83447
"C6,C40,C41",Capacitor_SMD:C_0402_1005Metric,C106256
C44,Capacitor_SMD:C_0402_1005Metric,C107372
"U9,U10,U11",Package_TO_SOT_SMD:SOT-23-5,C133751
J9,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
"Q1,Q2,Q3,Q4,Q5,Q6",Package_TO_SOT_SMD:SOT-23,C181138
J3,fpc60:Hirose_FH52-60S-0.5SH_1x60-1MP_P0.50mm_Horizontal,C224193
"C19,C24,C29,C34,C35,C36,C38,C45,C46,C49,C50",Capacitor_SMD:C_0402_1005Metric,C307331
C42,Capacitor_SMD:C_0402_1005Metric,C359289
"L2,L3,L4",custom:Inductor_MSC20FC,C375944
R11,Resistor_SMD:R_0402_1005Metric,C380748
"R13,R49",Resistor_SMD:R_0402_1005Metric,C409724
"R61,R62",Resistor_SMD:R_0402_1005Metric,C423288
"C21,C26,C31",Capacitor_SMD:C_0402_1005Metric,C466226
"C39,C43",Capacitor_SMD:C_0402_1005Metric,C527013
"C20,C22,C23,C25,C27,C28,C30,C32,C33,C37",Capacitor_SMD:C_0805_2012Metric,C602037
J2,Connector_HDMI:HDMI_A_Molex_208658-1001_Horizontal,C720616
"C51,C52",Capacitor_SMD:C_0402_1005Metric,C880624
U8,custom:SOP50P490X110-10N,C1509050
X1,Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,C1671774
U2,tc358840xbg:tc358840xbg,C3008712
