Designator,Mid X,Mid Y,Rotation,Layer
C6,7.78,21.123363,0,top
C19,-0.63,-4.356637,180,top
C20,2.08,-3.686637,0,top
C21,-0.63625,-3.356637,0,top
C22,-3.75,-1.906637,180,top
C23,-3.33,-3.946637,180,top
C24,-1.52,-13.826637,-90,top
C25,-3.74,-13.896637,180,top
C26,-1.5,-10.358637,90,top
C27,-3.72,-10.448637,180,top
C28,-3.94,-8.176637,180,top
C29,7.422496,-7.386637,90,top
C30,0.7,-13.896637,0,top
C31,7.4225,-9.556637,-90,top
C32,8.922496,-8.165321,90,top
C33,11.16,-14.276637,90,top
C34,7.16,12.923363,0,top
C35,7.16,11.923363,0,top
C36,-6.24,11.826363,180,top
C37,-8.06,2.113363,180,top
C38,-5.83,2.183363,-90,top
C39,-0.64,3.563363,-90,top
C40,-1.13,2.083363,0,top
C41,-3.33,6.863363,0,top
C42,-5.94,4.783363,0,top
C43,-2.64,3.443363,90,top
C44,5.452496,-9.286637,90,top
C45,6.442496,-7.386637,90,top
C46,-5.09,-0.396637,0,top
C47,-10.425675,-6.521438,-90,top
C48,-10.43,-3.045387,90,top
C49,-9,-10.636637,90,top
C50,-8.02,-10.636637,-90,top
C51,-7.04,-10.636637,-90,top
C52,-9.98,-10.636637,-90,top
J1,11.68,-18.076637,-90,top
J2,-15.575,10.023363,180,top
J3,16.66,0.423363,90,top
J8,-19.34,-4.676637,-90,top
J9,-19.24,-14.626637,-90,top
L2,-0.86,-0.886637,0,top
L3,-1.02,-7.276637,0,top
L4,7.9375,-13.891637,-90,top
Q1,-8.52,19.748863,0,top
Q2,0.0225,20.673363,180,top
Q3,11.6675,-1.906637,0,top
Q4,6.7725,-1.086637,0,top
Q5,6.8325,-4.556637,0,top
Q6,11.662496,-8.184137,-90,top
Q7,-14.0025,21.323363,0,top
R10,-4.34,11.826363,180,top
R11,7.8,22.103363,180,top
R12,6.05,19.593363,90,top
R13,4.86,21.513363,90,top
R14,4.86,19.593363,-90,top
R15,-6.82,17.086363,90,top
R16,-4.79,13.856363,90,top
R17,-5.79,13.856363,-90,top
R19,3.86,21.513363,90,top
R20,-6.29,15.316363,0,top
R21,-4.82,16.356363,-90,top
R22,-6.79,13.856363,90,top
R27,-9.84,-0.176637,-90,top
R29,-4.83,2.163363,-90,top
R37,4.21,3.193363,90,top
R38,3.22,3.593363,90,top
R39,9.22,-1.136637,-90,top
R40,-3.34,1.673363,0,top
R41,11.21,-4.606637,90,top
R42,4.31,-0.646637,-90,top
R43,10.2,-4.606637,90,top
R44,4.31,-2.946637,90,top
R45,13.12,-4.606637,-90,top
R46,12.9725,-11.295321,-90,top
R47,10.8925,-10.636637,0,top
R48,-1.63,3.543363,-90,top
R49,-3.81,3.403363,-90,top
R51,4.32,-4.877887,-90,top
R52,-0.65625,-2.366637,0,top
R53,2.93,-13.836637,-90,top
R54,-0.51,-10.378637,90,top
R58,4.36,-9.276637,90,top
R59,8.8725,-10.406637,180,top
R60,-8.13,4.783363,180,top
R61,-9.65,-12.076637,180,top
R62,-7.73,-12.076637,0,top
U2,1.66,8.423363,0,top
U8,-7.63,-4.671637,-90,top
U9,2.05125,-0.594137,-90,top
U10,1.71,-9.376137,-90,top
U11,5.1925,-13.539137,90,top
X1,6.15,2.423363,90,top
